A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,DELTA
0.022817045,0.029191421,0.019824243,0.025098323,0.029807586,0.035008314,0.036534056,0.038221175,0.034333466,0.031692758,0.021173938,0.033614607,0.038301863,0.02182678,0.038551264,0.032176888,0.038536593,0.025912542,0.037296927,0.024438146,0.029814921,0.038206505,0.024621529,0.0248856,0.03810381,0.029814921,0.033805325,0.025648471,0.034340801,0.00023323
0.027562984,0.035521785,0.039673565,0.023469887,0.020389061,0.030973899,0.030621804,0.037084204,0.030291716,0.039438835,0.029756239,0.02245028,0.024929612,0.020029631,0.026954154,0.029807586,0.03295443,0.025575118,0.02366794,0.030306386,0.028890674,0.038984046,0.032440959,0.037450969,0.038800664,0.029389474,0.027731696,0.038316534,0.026462689,0.000304871
0.01803443,0.019618854,0.032536318,0.026257301,0.018364518,0.033372542,0.038705305,0.039519523,0.031135275,0.037751716,0.02110792,0.024350123,0.037179563,0.027915079,0.021709415,0.026763437,0.026169277,0.039864282,0.030064322,0.020139661,0.033013112,0.036922827,0.022149533,0.027122866,0.039094076,0.034736908,0.03039441,0.027276908,0.033908019,0.000324481
0.025538441,0.029389474,0.030592463,0.019274095,0.030409081,0.038800664,0.035939897,0.030834528,0.027320919,0.033533918,0.029514174,0.020572443,0.020323043,0.039739582,0.022853722,0.027108196,0.024196082,0.031230634,0.031113269,0.017968412,0.018525895,0.021496691,0.023396534,0.035455767,0.02269968,0.023601922,0.028091126,0.019200742,0.019061372,0.000663392
0.018335177,0.02989561,0.023440546,0.033211165,0.031824794,0.026660742,0.029873604,0.020873191,0.0329691,0.038397222,0.026315983,0.023440546,0.036519386,0.031047252,0.027328255,0.029338127,0.039167429,0.0396809,0.021386662,0.025076318,0.036431362,0.022861057,0.038037793,0.027658343,0.019743554,0.031553387,0.0184232,0.029462827,0.031230634,0.000332901
0.03833854,0.019076042,0.030042316,0.02892735,0.025223024,0.01964086,0.03393736,0.033526583,0.022406268,0.030167016,0.034568196,0.022413604,0.036020585,0.020183672,0.028846662,0.018826642,0.021129926,0.036849474,0.035917891,0.036856809,0.033915354,0.023484557,0.035411755,0.025846524,0.031751441,0.024724223,0.024672876,0.027386937,0.023227822,0.00025493
0.024430811,0.03125264,0.022362257,0.021159267,0.031773446,0.018811971,0.028986032,0.034516849,0.02096855,0.024430811,0.033607271,0.028817321,0.033277183,0.037472975,0.039710241,0.022296239,0.027408943,0.030856534,0.039424164,0.028795315,0.027291578,0.030959228,0.018203141,0.027768373,0.034032719,0.030247704,0.023733958,0.0252597,0.033731972,0.000352203
0.038250516,0.03857327,0.021922139,0.031259975,0.021005226,0.018430536,0.019281431,0.033467901,0.020315708,0.037803063,0.020631126,0.028714626,0.023939346,0.032455629,0.031964164,0.018731283,0.024951617,0.03944617,0.038646623,0.037018186,0.035595138,0.023264498,0.033739307,0.022112856,0.030717163,0.019222748,0.036908156,0.028619267,0.032264912,0.000381184
0.019926937,0.018731283,0.039592876,0.037678363,0.027511637,0.024181411,0.019134725,0.02953618,0.025897871,0.029022709,0.030915216,0.020022296,0.023821981,0.032617006,0.03601325,0.019208078,0.02794442,0.037949769,0.029829592,0.03382733,0.03382733,0.018217812,0.028699956,0.020990555,0.030225698,0.029616868,0.032734371,0.031370005,0.027981096,0.000378438
0.019171401,0.039453506,0.039842276,0.030680487,0.019816907,0.031582729,0.028472561,0.027629002,0.028105796,0.032925089,0.023968687,0.036020585,0.026704754,0.035507114,0.026198618,0.030027645,0.031575393,0.021151932,0.022142198,0.018643259,0.020330378,0.018966013,0.029983633,0.024093387,0.018459877,0.030445757,0.034018048,0.031450693,0.028025108,0.000308587
0.021914803,0.027078854,0.032228235,0.02171675,0.027717026,0.028274508,0.039644223,0.030783181,0.03368796,0.024064046,0.029968963,0.027878402,0.031876141,0.036570733,0.032308923,0.022112856,0.020506426,0.034201431,0.019538166,0.030416416,0.039607547,0.022875728,0.02770969,0.035367743,0.033343201,0.032558324,0.03479559,0.036181962,0.039541529,0.00028635
0.018988019,0.018489218,0.035536455,0.031399346,0.020704479,0.032859071,0.023550575,0.035389749,0.031890811,0.025670477,0.018195806,0.039482847,0.032330929,0.019171401,0.019963613,0.029088727,0.036049926,0.030365069,0.027907743,0.030064322,0.018650595,0.037010851,0.027364931,0.030460428,0.025413741,0.02549443,0.025626465,0.020777832,0.020066308,0.000248639
0.02220088,0.032066858,0.025377065,0.033996042,0.033739307,0.022061509,0.036585403,0.028135138,0.0324703,0.025516436,0.024174076,0.036673427,0.024394135,0.035441096,0.030049651,0.023015098,0.036240644,0.033416554,0.021658068,0.01914206,0.021863456,0.018188471,0.034018048,0.025626465,0.026088589,0.021665403,0.03529439,0.023968687,0.038529258,0.000339666
0.029147409,0.033189159,0.021863456,0.031590064,0.026462689,0.021071244,0.037876416,0.034384813,0.028054449,0.023851322,0.028076455,0.018591912,0.021672738,0.036020585,0.024005364,0.024548176,0.035690497,0.034480172,0.039358147,0.039776259,0.027020172,0.027306249,0.01950149,0.029499503,0.036299327,0.024005364,0.024922276,0.020748491,0.027474961,0.000193087
0.021335315,0.019281431,0.024980959,0.021738756,0.02037439,0.019303436,0.025479759,0.026279307,0.022252227,0.021614056,0.036313997,0.03687148,0.018247153,0.01976556,0.035602473,0.02757032,0.034150084,0.022002827,0.033211165,0.031399346,0.035235708,0.038624617,0.024489494,0.019178736,0.029594862,0.034978973,0.021283967,0.035690497,0.033115806,0.000364983
0.034282119,0.032088864,0.030885875,0.024878264,0.03613795,0.034612208,0.027518972,0.030497104,0.023506563,0.0246362,0.036570733,0.039732247,0.01890733,0.033306524,0.018012424,0.037641686,0.026198618,0.023191145,0.03236027,0.03002031,0.022002827,0.025824518,0.02060912,0.017968412,0.028758638,0.034348137,0.036556062,0.034692896,0.028853997,0.0002336
0.033255177,0.036915492,0.037384951,0.028853997,0.035727173,0.036614744,0.028274508,0.029807586,0.037164892,0.020447743,0.026866131,0.038830005,0.019010024,0.024797576,0.033181824,0.024995629,0.026558048,0.018100447,0.019230083,0.021115256,0.024922276,0.028795315,0.034597537,0.030475098,0.029726898,0.036702768,0.030071657,0.039174764,0.037311598,0.00028351
0.026946819,0.031898147,0.021438009,0.039585541,0.032727035,0.029638874,0.032683024,0.018437871,0.03125264,0.024782906,0.035228373,0.026968825,0.037825069,0.018672601,0.034333466,0.03075384,0.037883751,0.037333604,0.034128078,0.025340388,0.021848786,0.031458029,0.020323043,0.025435747,0.021606721,0.033335865,0.034472837,0.018320506,0.038433899,0.000151137
0.018613918,0.026440683,0.022244892,0.038830005,0.020330378,0.038631952,0.030108333,0.034355472,0.03076851,0.023968687,0.033526583,0.038353211,0.020939208,0.025391735,0.0179244,0.020535767,0.024914941,0.02390267,0.035375079,0.035177026,0.026198618,0.022193545,0.036365344,0.028399208,0.038015787,0.037817734,0.022391598,0.034524184,0.027783043,0.000303772
0.0182985,0.039365482,0.039182099,0.025729159,0.033431224,0.037098874,0.033130477,0.029565521,0.033035118,0.036328668,0.029844263,0.030746504,0.039343476,0.035939897,0.036291991,0.031054587,0.039585541,0.025582453,0.018679936,0.034912955,0.021159267,0.022274233,0.027218225,0.019919602,0.03382733,0.023425875,0.027342925,0.036812798,0.029059385,0.000240847
0.02196615,0.035558461,0.02465087,0.038844676,0.021188609,0.033783319,0.019068707,0.01901736,0.027592325,0.022442945,0.0181738,0.034098737,0.02159205,0.034238107,0.024848923,0.027240231,0.033357871,0.030937222,0.030137675,0.03699618,0.037913093,0.020051637,0.026147271,0.019112719,0.030761175,0.036203968,0.03723091,0.030152345,0.032793053,0.000350846
