A1,A2,A3,A4,A5,A6,A7,A8,DELTA
0.022531408,0.034653007,0.033233706,0.033406324,0.033636481,0.027172906,0.026271458,0.033463863,7.73E-05
0.027096187,0.034499569,0.03367484,0.022147813,0.031641787,0.022550588,0.030491002,0.035055782,7.60E-05
0.018081707,0.028745646,0.027997635,0.024257585,0.034863984,0.02314516,0.035650354,0.025715246,0.000123485
0.025005595,0.018714639,0.028803185,0.037932744,0.020057221,0.037280632,0.027920916,0.025926223,0.000127398
0.018350224,0.023432856,0.029340218,0.022454689,0.028208613,0.026846851,0.026770132,0.024180866,0.000134946
0.037338172,0.023969889,0.030395104,0.021495702,0.034211873,0.032696673,0.018695459,0.026424896,0.000111362
0.024084967,0.020997028,0.020651793,0.03520922,0.029570375,0.03144999,0.025504269,0.030989676,0.000120953
0.037223093,0.018426942,0.022838284,0.037683407,0.026482436,0.02162996,0.031814405,0.038623214,0.000117861
0.019711985,0.030548542,0.024142507,0.03745325,0.021476522,0.037549149,0.023720552,0.031143114,8.79E-05
0.019174953,0.018772178,0.029762172,0.021323084,0.035880511,0.037817665,0.024698719,0.037261453,0.000104823
0.021572421,0.021418983,0.024832977,0.034480389,0.029090881,0.02316434,0.021361444,0.028285332,0.000129045
0.019079054,0.02843877,0.035362658,0.036494263,0.027748299,0.020440816,0.035995589,0.035151681,8.64E-05
0.021783398,0.021457342,0.034748906,0.032102101,0.036590161,0.031104754,0.021879297,0.035650354,9.32E-05
0.028477129,0.033904997,0.033789919,0.038604035,0.021265545,0.038623214,0.035324298,0.029819711,7.69E-05
0.021054568,0.030874597,0.019807884,0.024295945,0.019481828,0.02241633,0.020057221,0.030222486,0.000112648
0.033137807,0.028975802,0.018772178,0.029608734,0.033578941,0.025254932,0.026194739,0.03668606,0.000101031
0.032351438,0.023068441,0.023049261,0.025043955,0.036455903,0.037127194,0.027825018,0.037184734,9.36E-05
0.026463256,0.028362051,0.018100887,0.036954577,0.024123327,0.028112714,0.021399803,0.033061088,0.00010955
0.01863792,0.027614041,0.032293898,0.018235145,0.019673626,0.03440367,0.027057828,0.036916217,7.73E-05
0.018331044,0.038699933,0.036590161,0.036033949,0.024852157,0.032735033,0.037491609,0.024430203,9.71E-05
