A1,A2,A3,A4,A5,A6,A7,A8,DELTA
0.022733356,0.035376746,0.033896349,0.034076397,0.034316462,0.027574654,0.026634402,0.034136413,7.44E-05
0.027494633,0.035216703,0.034356472,0.022333249,0.032235904,0.022753361,0.031035582,0.035796858,7.31E-05
0.018092112,0.029215094,0.028434885,0.024533839,0.035596805,0.023373528,0.036417025,0.026054246,0.000120334
0.025314048,0.018752289,0.02927511,0.038797663,0.020152664,0.038117481,0.028354863,0.026274305,0.000124686
0.018372187,0.023673608,0.02983526,0.022653335,0.028654944,0.027234563,0.027154541,0.024453817,0.000131885
0.038177497,0.024233758,0.030935555,0.021653066,0.034916622,0.033336199,0.018732283,0.026794445,0.000108151
0.024353791,0.021132927,0.02077283,0.035956901,0.030075324,0.03203585,0.025834187,0.031555721,0.000118175
0.038057465,0.018452208,0.023053442,0.038537593,0.026854461,0.021793104,0.032415952,0.039517856,0.000115487
0.019792568,0.031095598,0.024413807,0.038297529,0.021633061,0.038397556,0.023973689,0.031715764,8.49E-05
0.019232417,0.018812305,0.030275378,0.021473018,0.036657089,0.038677631,0.024993962,0.038097475,0.000102593
0.021733088,0.021573045,0.025134,0.035196698,0.02957519,0.023393533,0.021513029,0.028734965,0.000125994
0.019132391,0.028895008,0.036116944,0.037297261,0.028174815,0.020552771,0.036777121,0.035896885,8.34E-05
0.021953147,0.021613056,0.035476773,0.032716032,0.037397288,0.031675754,0.022053174,0.036417025,9.05E-05
0.028935019,0.034596537,0.034476504,0.039497851,0.021413002,0.039517856,0.036076934,0.030335394,7.40E-05
0.021192943,0.031435689,0.019892594,0.02457385,0.019552503,0.022613324,0.020152664,0.030755507,0.000109628
0.033796322,0.029455158,0.018812305,0.030115335,0.034256445,0.025574118,0.026554381,0.037497314,9.84E-05
0.032976102,0.023293506,0.023273501,0.025354059,0.03725725,0.037957438,0.028254836,0.038017454,9.09E-05
0.026834456,0.028814987,0.018112117,0.037777389,0.024393801,0.028554917,0.02155304,0.033716301,0.000106894
0.018672267,0.028034777,0.032916086,0.018252155,0.019752557,0.035116676,0.027454622,0.037737379,7.46E-05
0.018352181,0.039597878,0.037397288,0.036817132,0.025154005,0.033376209,0.03833754,0.024713887,9.41E-05
0.021793104,0.021973152,0.024153737,0.038597609,0.021513029,0.037037191,0.025294043,0.018632257,0.000145729
0.034136413,0.034996644,0.03919777,0.034196429,0.030855534,0.022073179,0.02375363,0.022333249,0.000130264
0.038977711,0.032135877,0.038597609,0.021072911,0.026974493,0.039017722,0.037617347,0.022353254,0.000105001
